Hall,Practice_hours,Posts_shared,Bulla_hours,Classes_missed,Relationship_status,Enthu
2,3,1,3,3,Single_and_stud,0
2,8,3,1,1,Single_and_stud,0
2,0,1,1,3,Long_distance_lover,0
2,3,3,6,3,Long_distance_lover,0
2,6,2,3,1,Committed_inside_campus,0
2,12,3,1,4,Single_and_stud,0
2,0,2,5,4,Single_and_stud,0
2,1,4,1,0,Committed_inside_campus,0
2,13,0,0,4,Long_distance_lover,0
2,0,1,5,1,Committed_inside_campus,0
2,,,,,,0
2,5,2,2,3,Single_and_stud,0
2,13,0,2,2,Single_and_stud,0
2,6,2,5,3,Committed_inside_campus,0
2,6,3,4,0,Long_distance_lover,0
2,,,,,,0
2,2,4,3,0,Long_distance_lover,0
2,1,0,4,1,Single_and_stud,0
2,3,1,2,4,Committed_inside_campus,0
2,2,2,6,3,Committed_inside_campus,0
2,6,2,6,0,Single_and_stud,0
2,12,0,5,4,Committed_inside_campus,0
2,8,4,0,4,Committed_inside_campus,0
2,5,2,2,2,Long_distance_lover,0
2,,,,,,0
2,6,3,0,0,Long_distance_lover,0
2,8,3,1,0,Single_and_stud,0
2,0,4,4,2,Single_and_stud,0
2,,,,,,0
2,13,3,4,3,Long_distance_lover,0
2,11,1,2,3,Committed_inside_campus,0
2,4,3,1,2,Committed_inside_campus,0
2,4,2,4,3,Committed_inside_campus,0
2,5,1,5,0,Committed_inside_campus,0
2,7,3,3,0,Single_and_stud,0
2,7,0,6,1,Long_distance_lover,0
2,5,4,6,1,Single_and_stud,0
2,3,0,0,3,Committed_inside_campus,0
2,3,1,5,1,Single_and_stud,0
2,13,2,2,0,Committed_inside_campus,0
2,8,1,2,2,Long_distance_lover,0
2,7,0,4,0,Single_and_stud,0
2,6,4,1,4,Committed_inside_campus,0
2,9,4,2,3,Long_distance_lover,0
2,3,1,2,1,Long_distance_lover,0
2,5,2,4,2,Long_distance_lover,0
2,3,0,6,1,Single_and_stud,0
2,2,4,5,3,Single_and_stud,0
2,,,,,,0
2,6,2,4,1,Single_and_stud,0
2,10,2,3,1,Committed_inside_campus,0
2,12,3,3,0,Committed_inside_campus,0
2,9,3,3,3,Single_and_stud,0
2,2,3,5,4,Committed_inside_campus,0
2,13,2,2,0,Single_and_stud,0
2,1,2,3,0,Single_and_stud,0
2,6,4,6,4,Committed_inside_campus,0
2,,,,,,0
2,8,1,3,4,Committed_inside_campus,0
2,3,3,3,2,Long_distance_lover,0
2,,,,,,0
2,3,2,1,3,Committed_inside_campus,0
2,3,3,1,1,Single_and_stud,0
2,13,3,0,4,Committed_inside_campus,0
2,0,1,0,0,Long_distance_lover,0
2,2,1,1,3,Long_distance_lover,0
2,0,3,6,1,Single_and_stud,0
2,1,4,5,1,Single_and_stud,0
2,12,1,0,4,Single_and_stud,0
2,13,0,5,3,Single_and_stud,0
2,3,2,5,2,Committed_inside_campus,0
2,13,2,6,0,Committed_inside_campus,0
2,2,4,4,0,Long_distance_lover,0
2,,,,,,0
2,8,2,6,1,Single_and_stud,0
2,3,0,4,0,Committed_inside_campus,0
2,5,1,1,2,Long_distance_lover,0
2,1,1,4,4,Committed_inside_campus,0
2,,,,,,0
2,5,3,0,2,Long_distance_lover,0
2,4,3,0,2,Single_and_stud,0
2,4,3,1,0,Committed_inside_campus,0
2,,,,,,0
2,11,4,5,1,Long_distance_lover,0
2,12,1,4,0,Single_and_stud,0
2,9,0,0,2,Single_and_stud,0
2,12,0,0,4,Single_and_stud,0
2,9,0,0,0,Committed_inside_campus,0
2,,,,,,0
2,11,4,6,0,Single_and_stud,0
2,,,,,,0
2,,,,,,0
2,0,2,0,2,Long_distance_lover,0
2,1,1,5,4,Long_distance_lover,0
2,,,,,,0
2,0,2,3,1,Long_distance_lover,0
2,12,0,3,0,Committed_inside_campus,0
2,,,,,,0
2,3,1,5,0,Long_distance_lover,0
2,13,2,1,2,Committed_inside_campus,0
2,8,4,6,2,Single_and_stud,0
2,,,,,,0
2,7,0,2,4,Long_distance_lover,0
2,4,2,3,3,Long_distance_lover,0
2,,,,,,0
2,9,0,3,0,Long_distance_lover,0
2,3,0,0,2,Committed_inside_campus,0
2,7,0,0,1,Single_and_stud,0
2,10,1,3,0,Committed_inside_campus,0
2,8,2,4,1,Single_and_stud,0
2,6,0,5,3,Committed_inside_campus,0
2,0,3,3,2,Long_distance_lover,0
2,9,1,0,3,Committed_inside_campus,0
2,7,1,0,2,Committed_inside_campus,0
2,1,1,2,2,Long_distance_lover,0
2,7,3,3,4,Committed_inside_campus,0
2,4,3,1,4,Long_distance_lover,0
2,12,4,0,1,Long_distance_lover,0
2,11,0,1,4,Single_and_stud,0
2,11,2,3,3,Committed_inside_campus,0
2,3,2,4,3,Long_distance_lover,0
2,12,0,6,4,Committed_inside_campus,0
2,9,2,4,0,Single_and_stud,0
2,3,0,0,4,Single_and_stud,0
2,,,,,,0
2,,,,,,0
